indice product_name packaging additives_fr nutrition-score-fr_100g
301 Pistaches-au-piment-doux Sachet,Plastique # 24
302 Pistaches-XXL-grillées-salées Sachet,Plastique # 18
303 Pistaches-XXL-Poivre-&-Sel Sachet,Plastique # 23
304 Pistaches-XXL-Grillées-sans-sel Sachet,plastique # 13
305 Pistachios # # #
306 Walnuts Sachet,plastique # 14
307 Half-lamb-leg-bone-in film-plastic # 2
308 Brown-sauce Plastic,Bottle # 9
309 Lemon-Cheesecake plastic,pot # #
310 100-%-Maple-syrup # # #
311 Applesauce-Granny-Smith Pouches,plastic # #
312 100%-Tomato-Juice can E300-Acideascorbique -4
313 Vinaigre-basalmique-bio Bouteille,Verre # #
314 Aberdeen-angus-steak-pie # E170-Carbonatedecalcium,E375-Acidenicotinique,E150a-CaramelE150a 13
315 Amandino-blanches bocal,verre # #
316 Gerber-Fruit-&-Yogurt---Very-Berry-Grabber # # #
317 Oatmeal-Cereal-single-grain # # #
318 Pure-Water plastic E518-Sulfatedemagnésium,E500ii-Hydrogénocarbonatedesodium,E509-Chloruredecalcium #
319 Strawberry-&-Champagne-Conserve jar-glass,lid-metal E440-Pectines 11
320 Hoisin-stir-fry-sauce # # #
321 Spice-Paste-for-Indian-Butter-Chicken-Murgh-Makhani # E330-Acidecitrique 15
322 Broccoli-au-gratin-flavor-rice # # #
323 British-Sirloin-Steak tray-plastic,film-plastic # 2
324 australian-macadamia-blossom-honey # # #
325 Applesauce-Natural Pouches E300-Acideascorbique #
326 Swiss-Miss-Marshmallow-Flavour # # #
327 European-style-unsalted-butter paper # #
328 Lemongrass-Paste Plastic,Tube E415-Gommexanthane,E201-Sorbatedesodium -3
329 Pure-Cane-Sugar-Golden-Brown # # #
330 Restaurant-Style-Blue-Chips # # #
331 coconut-milk # # #
332 Chicken-&-Bacon-Layered-Salad-with-créme-fraîche-mayonnaise # # #
333 pad-thai-ribbon-noodles plastic # #
334 lighter-coconut--milk # # #
335 Tome-fraîche # # #
336 Pilons-de-poulet barquetteetfilmplastiqueàjeter # #
337 Bread-Flour paper E375-Acidenicotinique,E101-Riboflavine #
338 Self-Rising-Flour paper E541-Phosphated'aluminiumetdesodium,E341i,E516-Sulfatedecalcium,E375-Acidenicotinique,E101-Riboflavine #
339 -Traditional-Chex-Mix # # #
340 Lucky-Charms # # 14
